titulo,Cidade,salario,descricao
Desenvolvedor ASP.NET C# / JavaScript / SQL SERVER,Rio de Janeiro,A combinar,"Programar, codificar e desenvolver sistemas, com ênfase em Asp."
Desenvolvedor Front End,Joinville,A combinar,"Definir padrão de interface, Elaboração de mapas de navegação do usuário, testes de usabilidade, Elaboração de mapas de navegação do usuário, testes de usabilidade, Prototipação, Fluxo do usuário e de processos."
Desenvolvedor Front-end Sênior,São Paulo,A combinar,"Tecnologias obrigatórias: Jquery, JavaScript, Css, Bootstrap, ASP."
Desenvolvedor JavaScript,Florianopolis, De 6.001 até 7.000 ,"Desenvolvedor de front-end experiente que possa ajudar a levar o seu produto ao próximo nível. No momento, estão procurando desenvolvedores para trabalhar com a interface do usuário do aplicativo e players de sinalização digital."
Desenvolvedor Full Stack,São Paulo,A combinar,Irá atuar com Tech Stack: - Node.
Desenvolvedor Ruby,São Paulo, De 4.001 até 5.000 ,"Buscamos profissionais de desenvolvimento de software para participarem ativamente dos nossos projetos web, criando e evoluindo aplicações em Ruby on Rails. Esperamos que o candidato seja proativo, que goste de navegar pelo código, estudar as funcionalidades e se aprofundar na arquitetura. É essencial que seja adepto da cultura colaborativa e se preocupe com a criação de testes automatizados."
Desenvolvedor .Net,Belo Horizonte,A combinar,Desenvolvimento de software utilizando tecnologia web em ambiente corporativo utilizando banco de dados; Modelagem de dados e programação orientada a objeto;
Desenvolvedor Web Pleno (Rails/JS),Uberlandia, De 4.001 até 5.000 ,"Analisar documentos de requisitos e desenhos de telas, planejar entregas baseadas no esforço estimado para criação de funcionalidades, implementar novas funcionalidades, manter funcionalidades existentes, testar a aplicação."
Desenvolvedor WordPress,São Paulo," R$ 3000,00 ","A agência Nambbu procura programador WordPress para trabalhar com implementação e manutenção de projetos em WordPress. Além de sites e portais, a agência desenvolve lojas virtuais, então é importante ter experiência com WooCommerce."
Desenvolvedor Java,São Paulo,A combinar,"Identifica-se com os nossos valores. Já trabalhou no desenvolvimento de aplicações web. Experiência com algum banco de dados relacional,  testes automatizados e é habituado em trabalhar com pull requests. Tem noções de segurança para desenvolver código seguro. Conhece metodologias Ágeis.  Possuir experiência em Java. Conhecer Javascript, HTML e CSS, e tenha conhecimento com Twitter Bootstrap. O que terá de responsabilidade: Desenvolver novas funcionalidades e atuar na resolução de bugs das aplicações da Bionexo. Trabalhar em colaboração com outros times. Trazer boas práticas e conhecimentos técnicos para o dia a dia de trabalho. Compreender as necessidades dos usuários para ajudar a melhorar a eficiência dos fluxos de trabalho."
Desenvolvedor .Net Pleno,Rio de Janeiro, De 4.001 até 5.000 ,"Desenvolvedor dotNet com capacidade de desenvolvimento em front-end, Back-end e banco de dados. Conhecimentos de ."
